Vendor,Type,Num,Date,Due Date,Aging,Amount,Open Balance
,,,,,,,
BuyCPanel,Bill,504100,04/25/2013,04/25/2013,,16.96,16.96
BuyCPanel,Bill,521763,05/22/2013,05/22/2013,,16.97,16.97
BuyCPanel,Bill,542177,06/22/2013,06/22/2013,,16.98,16.98
BuyCPanel,Bill,562426,07/22/2013,07/22/2013,,16.99,16.99
BuyCPanel,Bill,585439,08/22/2013,08/22/2013,,16.1,16.1
BuyCPanel,Bill,606927,09/22/2013,09/22/2013,,16.101,16.101
BuyCPanel,Bill,629452,10/22/2013,10/22/2013,,16.102,16.102
BuyCPanel,Bill,651168,11/22/2013,11/22/2013,,16.103,16.103
BuyCPanel,Bill,674577,12/22/2013,12/22/2013,,16.104,16.104
BuyCPanel,Bill,698666,01/22/2014,01/22/2014,,16.105,16.105
BuyCPanel,Bill,722199,02/22/2014,02/22/2014,,16.106,16.106
BuyCPanel,Bill,745554,03/22/2014,03/22/2014,,16.107,16.107
BuyCPanel,Bill,769653,04/22/2014,04/22/2014,,16.108,16.108
BuyCPanel,Bill,794800,05/22/2014,05/22/2014,,16.109,16.109
BuyCPanel,Bill,821028,06/22/2014,06/22/2014,,16.11,16.11
BuyCPanel,Bill,847963,07/22/2014,07/22/2014,,16.111,16.111
BuyCPanel,Bill,874142,08/22/2014,08/22/2014,,16.112,16.112
BuyCPanel,Bill,900985,09/22/2014,09/22/2014,,16.113,16.113
BuyCPanel,Bill,927692,10/22/2014,10/22/2014,,16.114,16.114
REAL_NORMAL,Bill,0624,06/03/2013,06/03/2013,,4150,4150
REAL_NORMAL,Bill,0632,08/13/2013,08/13/2013,,4150,4150
Rackspace,Bill,,09/12/2014,09/22/2014,,0,
Rackspace,Bill,2248563,04/27/2013,04/27/2013,547,38.34,38.34
Rackspace,Bill,2323050,05/27/2013,05/27/2013,517,53.34,53.34
Rackspace,Credit,73738,06/25/2013,06/25/2013,,-0.56,-0.56
Rackspace,Bill,2398740,06/27/2013,06/27/2013,486,207.49,207.49
Rackspace,Bill,2475199,07/27/2013,07/27/2013,456,101.06,101.06
Rackspace,Bill,2552311,08/27/2013,08/27/2013,425,161.59,161.59
Rackspace,Bill,2633989,09/27/2013,09/27/2013,394,208.06,208.06
Rackspace,Bill,2707143,10/27/2013,10/27/2013,364,231.26,231.26
Rackspace,Bill,2784768,11/27/2013,11/27/2013,,241.93,241.93
Rackspace,Bill,2862409,12/27/2013,12/27/2013,303,442,442
Rackspace,Bill,2940006,01/27/2014,01/27/2014,272,412.03,412.03
Rackspace,Bill,3021951,02/27/2014,02/27/2014,241,384.72,384.72
Rackspace,Bill,3094404,03/27/2014,03/27/2014,213,252.34,252.34
Rackspace,Bill,3171510,04/27/2014,04/27/2014,182,271.99,271.99
Rackspace,Bill,,05/27/2014,05/27/2014,152,271.56,271.56
Rackspace,Bill,3329132,06/27/2014,06/27/2014,121,237.55,237.55
Rackspace,Bill,3402355,07/27/2014,07/27/2014,91,92.63,92.63
Rackspace,Bill,3485383,08/27/2014,08/27/2014,60,79.08,79.08
Rackspace,Bill,3572420,09/27/2014,09/27/2014,29,121,121
