client_id,product_id,categoryname,productname,order_id,date_created,domain,server,modname,firstpayment,amount,billingcycle,next_due,status,username
1,5,Web Hosting,Coop Hosting Services,1,2013-06-20,silicatevisions.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,silicat
2,5,Web Hosting,Coop Hosting Services,3,2013-06-27,internetcooperatives.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,icoop
2,5,Web Hosting,Coop Hosting Services,7,2013-07-03,sitementors.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,mentors
2,106,SSL Certificates,Comodo Instant SSL,22,2013-07-29,townhall.webhosting.coop,EnomSSL,,50.00,50.00,Annually,2014-08-09,Cancelled,townhal
2,104,SSL Certificates,Comodo EV SSL,28,2013-07-30,members.webhosting.coop,EnomSSL,,200.00,200.00,Annually,2014-08-01,Terminated,brianm
2,102,SSL Certificates,Comodo Essential SSL,29,2013-07-30,internetcooperatives.com,EnomSSL,,15.00,15.00,Annually,2014-07-31,Terminated,interne
2,100,Web Hosting,WebHosting.Coop Membership,43,2013-08-12,townhall8.webhosting.coop,lynx.webhosting.coop,,0.00,0.00,Free,2013-09-12,Cancelled,th8
2,100,Web Hosting,WebHosting.Coop Membership,44,2013-08-12,webhosting.coop,lynx.webhosting.coop,,100.00,100.00,Annually,2015-08-12,Active,webhost
2,5,Web Hosting,Coop Hosting Services,49,2013-08-15,webhostinginstitute.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,webhosti
2,5,Web Hosting,Coop Hosting Services,81,2013-11-19,modansky.com,lynx.webhosting.coop,,50.00,50.00,Semi-Annually,2015-05-19,Active,modansk
2,100,Web Hosting,WebHosting.Coop Membership,126,2014-02-19,liveprotest.com,lynx.webhosting.coop,,100.00,100.00,Annually,2015-02-19,Cancelled,livepro
2,5,Web Hosting,Coop Hosting Services,166,2014-06-20,tosarchive.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,tos
2,100,Web Hosting,WebHosting.Coop Membership,179,2014-07-23,townhall.webhosting.coop,lynx.webhosting.coop,,0.00,0.00,Free,2014-08-23,Active,townhall
2,100,Web Hosting,WebHosting.Coop Membership,180,2014-07-23,dev-townhall.webhosting.coop,lynx.webhosting.coop,,0.00,0.00,Free,2014-08-23,Active,devtown
2,5,Web Hosting,Coop Hosting Services,221,2014-12-19,bannertournament.com,lynx.webhosting.coop,,0.00,0.00,Free,0000-00-00,Active,banner
3,100,Web Hosting,WebHosting.Coop Membership,21,2013-07-29,zerowastestraws.com,lynx.webhosting.coop,,0.00,100.00,Annually,2014-12-12,Terminated,buyglass
3,100,Web Hosting,WebHosting.Coop Membership,24,2013-07-29,buyhappyglass.com,lynx.webhosting.coop,,0.00,100.00,Annually,2015-12-12,Active,buyhappy
3,102,SSL Certificates,Comodo Essential SSL,36,2013-08-08,buyhappyglass.com,EnomSSL,,15.00,15.00,Annually,2015-09-07,Active,buyhapp
3,100,Web Hosting,WebHosting.Coop Membership,40,2013-08-12,buyglassblunts.com,lynx.webhosting.coop,,0.00,100.00,Annually,2015-12-12,Active,blunts
3,102,SSL Certificates,Comodo Essential SSL,61,2013-10-04,buyglassblunts.com,EnomSSL,,0.00,15.00,Annually,2014-10-04,Terminated,buyglas
